left,right,clue,target,response_list,response_mean
Art,Commerce,self-published poetry book,40,"[48, 12, 49, 31, 43, 76, 13, 31, 31, 30, 5, 53, 49, 22, 49, 72, 26, 49, 36, 83, 51, 30, 18, 6, 73, 42, 38, 17, 34, 11, 49, 24, 25, 18, 23, 10, 1, 25, 14, 37]",33.85
Art,Commerce,Patreon,65,"[48, 8, 58, 58, 58, 84, 36, 72, 28, 26, 80, 58, 10, 59, 66, 51, 50, 52, 11, 49, 58, 58, 65, 49, 61, 75, 13, 70, 49, 61, 3, 74, 49, 0, 99, 56, 0, 64, 31, 50]",48.675
Bad,Good,cafeteria food,30,"[31, 23, 86, 70, 29, 27, 52, 23, 49, 49, 43, 50, 49, 49, 48, 14, 51, 57, 24, 48, 47, 66, 10, 34, 14, 49, 48, 49, 39, 47, 59, 70, 5, 40, 77, 41, 41, 48, 33, 25]",42.85
Bad,Good,vacation,90,"[89, 89, 75, 100, 91, 96, 83, 89, 100, 100, 84, 94, 100, 90, 93, 97, 83, 78, 88, 84, 90, 94, 100, 93, 73, 62, 91, 82, 88, 80, 92, 95, 98, 83, 81, 84, 93, 84, 100, 87]",88.825
Bad for you,Good for you,lots of sugar,10,"[53, 11, 29, 25, 1, 0, 2, 32, 4, 11, 6, 4, 18, 97, 7, 3, 7, 12, 4, 0, 31, 14, 17, 3, 24, 14, 84, 14, 12, 6, 0, 1, 63, 4, 19, 20, 0, 46, 15, 14]",18.175
Bad for you,Good for you,birthday,75,"[49, 85, 82, 72, 71, 69, 49, 94, 77, 90, 100, 86, 49, 72, 90, 73, 100, 91, 81, 86, 95, 62, 96, 49, 82, 65, 86, 71, 100, 88, 64, 99, 75, 90, 78, 52, 92, 87, 100, 76]",79.325
Bad habit,Good habit,poor,35,"[8, 55, 34, 7, 6, 12, 37, 16, 31, 29, 49, 26, 48, 14, 35, 17, 52, 8, 24, 4, 28, 4, 89, 49, 6, 19, 19, 21, 0, 11, 21, 27, 25, 8, 27, 14, 0, 83, 3, 6]",24.3
Bad habit,Good habit,sparkling water,80,"[84, 48, 88, 81, 81, 65, 83, 81, 63, 83, 77, 43, 64, 100, 64, 84, 51, 49, 60, 97, 86, 49, 100, 65, 61, 81, 9, 76, 70, 53, 85, 44, 64, 55, 94, 66, 49, 66, 74, 50]",68.575
Blue,Green,color of the ocean,20,"[8, 7, 22, 11, 26, 29, 24, 42, 39, 1, 15, 38, 8, 4, 17, 20, 4, 45, 41, 10, 9, 0, 0, 7, 42, 8, 15, 24, 31, 19, 12, 15, 52, 9, 58, 25, 4, 56, 49, 0]",21.15
Blue,Green,frog,75,"[69, 93, 95, 97, 82, 19, 74, 100, 100, 49, 100, 100, 100, 88, 77, 94, 87, 100, 91, 45, 75, 91, 59, 84, 89, 84, 46, 65, 100, 84, 97, 72, 69, 100, 84, 100, 86, 75, 99, 93]",82.8
Boring,Exciting,sit and do nothing,10,"[10, 14, 0, 2, 0, 14, 0, 7, 12, 11, 13, 23, 63, 4, 14, 15, 0, 0, 4, 49, 32, 0, 0, 11, 6, 22, 8, 8, 13, 17, 0, 23, 1, 31, 10, 15, 44, 9, 5, 15]",13.125
Boring,Exciting,eat a meal,55,"[50, 82, 55, 69, 81, 58, 79, 55, 49, 57, 99, 30, 37, 49, 57, 96, 93, 48, 87, 83, 83, 53, 79, 73, 66, 44, 81, 49, 100, 50, 33, 82, 43, 61, 49, 81, 81, 93, 88, 49]",66.3
Casual event,Formal event,gathering,35,"[42, 23, 41, 51, 50, 49, 17, 33, 26, 48, 31, 66, 49, 69, 27, 57, 67, 14, 17, 30, 49, 70, 50, 85, 100, 49, 49, 41, 49, 65, 49, 49, 49, 50, 96, 51, 0, 50, 53, 40]",47.525
Casual event,Formal event,wedding,80,"[91, 100, 97, 89, 81, 71, 88, 92, 78, 100, 100, 23, 86, 78, 91, 77, 91, 77, 86, 82, 92, 95, 98, 100, 12, 79, 82, 92, 71, 90, 86, 95, 95, 100, 82, 83, 95, 95, 100, 87]",85.175
Cheap,Expensive,penny candies,0,"[16, 3, 2, 78, 9, 0, 0, 0, 0, 3, 1, 5, 33, 0, 0, 18, 5, 11, 13, 18, 81, 4, 84, 10, 10, 4, 14, 0, 15, 7, 4, 8, 10, 4, 0, 0, 1, 64, 1, 6]",13.55
Cheap,Expensive,moderate,60,"[49, 51, 50, 49, 55, 52, 51, 49, 50, 59, 49, 49, 49, 49, 49, 49, 49, 51, 50, 49, 50, 49, 49, 49, 51, 50, 48, 51, 50, 48, 49, 56, 51, 49, 50, 50, 49, 51, 49, 49]",50.15
Colorless,Colorful,ivory,20,"[3, 5, 76, 15, 4, 19, 9, 73, 13, 26, 37, 16, 78, 10, 25, 18, 16, 59, 33, 10, 70, 19, 83, 21, 11, 48, 8, 82, 9, 13, 6, 15, 40, 11, 12, 20, 9, 52, 4, 41]",27.975
